ts_code,fund_name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,C_flg
015345.OF,嘉实养老目标日期2055五年持有,嘉实基金,交通银行,混合型,20221121,,,20220817,,0.1786,0.8,0.15,,1.0,0.0001,,中证800指数收益率*64.60%+中债总财富指数收益率*35.40%,L,混合型,契约型开放式,,20221128,,O,0
013571.OF,天弘养老目标2030一年持有,天弘基金,中国邮政储蓄银行,混合型,20221118,,,20220817,,0.2348,0.6,0.2,,1.0,0.0001,,中债新综合财富(总值)指数收益率*75.43%+沪深300指数收益率*24.57%,L,混合型,契约型开放式,,20230213,20231120,O,0
015317.OF,景顺长城隽发平衡养老目标三年持有,景顺长城基金,浦发银行,混合型,20221116,,,20220815,,0.1043,1.0,0.15,,1.0,0.0001,,中证800指数收益率*50%+中证全债指数收益率*35%+恒生指数收益率(使用估值汇率折算)*5%+上海黄金交易所Au99.99现货实盘合约收益率*5%+商业银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20230215,20251117,O,0
015289.OF,格林高股息优选A,格林基金,中国光大银行,混合型,20221115,,,20220811,,0.0624,1.5,0.25,,1.0,0.0001,,中证红利指数收益率*50%+中证港股通高股息投资指数收益率*30%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20221216,20221216,O,0
015235.OF,国寿安保稳泽两年持有A,国寿安保基金,中国民生银行,混合型,20221108,,,20220805,,2.0919,1.0,0.15,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20230215,,O,0
015261.OF,易方达如意兴安一年持有A,易方达基金,兴业银行,混合型,20221108,,,20220805,,0.8372,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*80%+沪深300指数收益率*18%+中证港股通综合指数收益率*2%,L,混合型,契约型开放式,,20230109,20231106,O,0
015250.OF,华宝安悦一年持有A,华宝基金,兴业银行,混合型,20221108,,,20220805,,1.7831,0.55,0.1,,1.0,0.0001,,中证综合债指数收益率*75%+沪深300指数收益率*15%+中证可转换债券指数收益率*10%,L,混合型,契约型开放式,,20221212,,O,0
015318.OF,南方浩誉稳健18个月持有A,南方基金,浦发银行,混合型,20221104,,,20220805,,1.8944,0.8,0.15,,1.0,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*25%,L,混合型,契约型开放式,,20221229,20221229,O,0
016316.OF,同泰积极配置3个月持有A,同泰基金,平安银行,股票型,20221103,,,20220805,,0.2196,1.0,0.2,,1.0,0.001,,沪深300指数收益率*80%+恒生综合指数收益率*10%+中债综合全价(总值)指数收益率*10%,L,股票型,契约型开放式,,20221104,20230203,O,0
016159.OF,汇添富数字经济核心产业一年持有D,汇添富基金,中国工商银行,混合型,20221031,,,20220728,,0.0043,1.2,0.2,,1.0,0.001,,中证文体指数收益率*20%+中证TMT产业主题指数收益率*20%+中证消费服务领先指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20230103,,O,0
015421.OF,南方浩鑫稳健优选6个月持有A,南方基金,中国银行,混合型,20221031,,,20220728,,1.7601,1.0,0.2,,1.0,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20230130,20230504,O,0
016157.OF,汇添富数字经济核心产业一年持有A,汇添富基金,中国工商银行,混合型,20221031,,,20220728,,2.1282,1.2,0.2,,1.0,0.001,,中证文体指数收益率*20%+中证TMT产业主题指数收益率*20%+中证消费服务领先指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20230103,,O,0
016187.OF,南方景气楚荟3个月持有A,南方基金,招商银行,混合型,20221027,,,20220801,,0.5578,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,20221226,20230130,O,0
015162.OF,景顺长城鑫景产业精选一年持有A,景顺长城基金,南京银行,混合型,20221021,,,20220720,,2.5517,1.5,0.25,,1.0,0.0001,,中证800指数收益率*50%+恒生指数收益率(使用估值汇率折算)*30%+中国债券总指数收益率*20%,L,混合型,契约型开放式,,20230118,20231024,O,0
015217.OF,鹏扬成长领航A,鹏扬基金,中国工商银行,混合型,20221021,,,20220720,,0.652,1.2,0.2,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20221121,20221121,O,0
016165.OF,汇添富优势企业精选A,汇添富基金,中国建设银行,混合型,20221014,,,20220713,,1.3446,1.2,0.2,,1.0,0.001,,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20221114,20221114,O,0
015347.OF,泰康景气行业A,泰康基金,中国农业银行,混合型,20220929,,,20220815,,0.9533,1.5,0.25,,1.0,0.001,,中证500指数收益率*65%+中债新综合全价(总值)指数收益率*25%+恒生指数收益率*10%,L,混合型,契约型开放式,,20221031,20221031,O,0
015145.OF,同泰新能源优选1年持有A,同泰基金,兴业银行,股票型,20220929,,,20220720,,1.6763,1.5,0.2,,1.0,0.001,,中证新能源产业指数收益率*60%+恒生能源业指数收益率*25%+中债综合全价(总值)指数收益率*15%,L,股票型,契约型开放式,,20220930,,O,0
015537.OF,红塔红土新能源主题精选A,红塔红土基金,兴业银行,股票型,20220927,,,20220808,,0.1092,1.5,0.25,,1.0,0.001,,中证新能源指数收益率*90%+中债综合财富(总值)指数收益率*10%,L,股票型,契约型开放式,,20221027,20221027,O,0
012137.OF,景顺长城安瑞A,景顺长城基金,兴业银行,混合型,20220923,,,20220622,,2.6719,0.8,0.2,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20221222,20221222,O,0
015429.OF,中银证券专精特新A,中银证券,广州农商银行,股票型,20220922,,,20220817,,1.7598,1.2,0.2,,1.0,0.001,,中证1000指数收益率*85%+中债综合全价指数收益率*15%,L,股票型,契约型开放式,,20221024,20221024,O,0
015514.OF,方正富邦鑫诚12个月持有A,方正富邦基金,中国建设银行,混合型,20220921,,,20220804,,1.8073,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*20%+恒生指数收益率*20%,L,混合型,契约型开放式,,20220930,,O,0
012570.OF,建信恒生科技指数A,建信基金,中国农业银行,股票型,20220921,,,20220819,,0.1151,0.8,0.2,,1.0,0.001,,人民币计价的恒生科技指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20221111,20221111,O,0
014722.OF,易方达汇欣平衡养老三年持有A,易方达基金,平安银行,混合型,20220916,,,20220616,,2.9321,0.9,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*50%+沪深300指数收益率*40%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20221109,,O,0
014744.OF,恒生前海兴享A,恒生前海基金,兴业银行,混合型,20220915,,,20220617,,0.0009,0.6,0.15,,1.0,0.0001,,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*30%,L,混合型,契约型开放式,,20221017,20221017,O,0
015505.OF,中邮专精特新一年持有A,中邮基金,中国邮政储蓄银行,混合型,20220914,,,20220815,,3.8306,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*70%+上证国债指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20221014,,O,0
015223.OF,汇添富进取成长A,汇添富基金,交通银行,混合型,20220914,,,20220720,,5.888,1.2,0.2,,1.0,0.001,,中证500指数收益率*70%+中债综合全价(总值)指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20221205,20221205,O,0
016091.OF,汇泉匠心智选一年持有A,汇泉基金,中国农业银行,混合型,20220913,,,20220818,,1.9781,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+一年期定期存款利率(税后)*25%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20221111,20230913,O,0
