ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
011629.OF,20230421,20230331,0.8167,0.8167,,193765536.97,194284347.15,0.8167,1
011629.OF,20230119,20221231,0.8835,0.8835,,229083021.32,229098102.24,0.8835,1
014070.OF,20230421,20230331,0.9288,0.9288,,56973245.56,93459148.95,0.9288,1
014070.OF,20230120,20221231,0.9362,0.9362,,59903340.77,102237069.44,0.9362,1
014067.OF,20230422,20230331,0.9837,0.9837,,231999711.94,231999711.94,0.9837,1
014067.OF,20230120,20221231,0.9758,0.9758,,230137026.87,230137026.87,0.9758,1
013888.OF,20230423,20230331,0.92,0.92,,1031217.72,34910753.58,0.92,1
013888.OF,20230128,20221231,0.9149,0.9149,,949388.33,35434371.38,0.9149,1
013407.OF,20230422,20230331,0.947,0.947,,6034046.78,40228746.55,0.947,1
013407.OF,20230120,20221231,0.948,0.948,,9621202.88,45808251.97,0.948,1
015509.OF,20230422,20230331,0.9732,0.9732,,206472140.08,219125811.81,0.9732,1
015509.OF,20230120,20221231,0.9514,0.9514,,201263437.11,207127458.03,0.9514,1
014313.OF,20230421,20230331,1.0044,1.0044,,350013193.27,365284564.29,1.0044,1
014313.OF,20230120,20221231,1.0025,1.0025,,346824857.15,361755770.2,1.0025,1
161730.OF,20230421,20230331,1.0044,1.0044,,226224872.84,290283990.18,1.0044,1
161730.OF,20230118,20221231,0.9915,0.9915,,223314255.0,286611576.18,0.9915,1
013694.OF,20230421,20230331,0.9903,0.9903,,28342469.61,125695590.44,0.9903,1
013694.OF,20230118,20221231,0.985,0.985,,33492039.73,144763523.09,0.985,1
015234.OF,20230422,20230331,0.9656,0.9656,,11939876.58,11939876.58,0.9656,1
015234.OF,20230120,20221231,0.9453,0.9453,,11683448.1,11683448.1,0.9453,1
015507.OF,20230421,20230331,1.0019,1.0019,,75154984.53,110095159.0,1.0019,1
015507.OF,20230120,20221231,0.9399,0.9399,,70982371.9,108231519.57,0.9399,1
013853.OF,20230421,20230331,1.0882,1.0882,,475614827.34,514684154.08,1.0882,1
013853.OF,20230118,20221231,1.0103,1.0103,,409182325.5,438944944.95,1.0103,1
014547.OF,20230422,20230331,1.0125,1.0125,,24818903.22,39618861.37,1.0125,1
014547.OF,20230121,20221231,0.9688,0.9688,,44079062.68,72261091.35,0.9688,1
015133.OF,20230421,20230331,0.9948,0.9948,,135169421.0,201241732.1,0.9948,1
015133.OF,20230120,20221231,0.9634,0.9634,,130733702.21,194756239.96,0.9634,1
013643.OF,20230421,20230331,0.9345,0.9345,,191438981.52,240030309.26,0.9345,1
013643.OF,20230120,20221231,0.9264,0.9264,,189734003.18,237937952.87,0.9264,1
013651.OF,20230422,20230331,0.9991,0.9991,,213147693.1,226773987.54,0.9991,1
013651.OF,20230120,20221231,0.9807,0.9807,,243369823.63,265501118.04,0.9807,1
015104.OF,20230421,20230331,0.9227,0.9227,,56267151.31,69562740.95,0.9227,1
015104.OF,20230120,20221231,0.9061,0.9061,,56104177.19,69787268.33,0.9061,1
013701.OF,20230421,20230331,1.0417,1.0417,,100388531.18,108591140.69,1.0417,1
013701.OF,20230118,20221231,1.0123,1.0123,,96118143.81,104977619.43,1.0123,1
014205.OF,20230421,20230331,1.0213,1.0213,,18868275.47,38562771.79,1.0213,1
014205.OF,20230120,20221231,0.9862,0.9862,,26665454.96,65030865.13,0.9862,1
015241.OF,20230421,20230331,1.0148,1.0148,,67815194.98,71937854.5,1.0148,1
015241.OF,20230120,20221231,1.0084,1.0084,,102320592.47,110982315.05,1.0084,1
012102.OF,20230422,20230331,0.8355,0.8355,,107736921.86,121106173.88,0.8355,1
012102.OF,20230120,20221231,0.7869,0.7869,,103728840.11,116614006.32,0.7869,1
013958.OF,20230423,20230331,1.2112,1.2112,,961485129.5,1128416746.33,1.2112,1
013958.OF,20230120,20221231,1.0644,1.0644,,533365950.2,654552792.71,1.0644,1
014366.OF,20230421,20230331,0.9262,0.9262,,14643865.9,14643865.9,0.9262,1
014366.OF,20230120,20221231,0.9208,0.9208,,14527774.07,14527774.07,0.9208,1
015276.OF,20230422,20230331,0.9321,0.9321,,84478424.79,97025375.23,0.9321,1
015276.OF,20230120,20221231,0.9377,0.9377,,90487911.69,103853879.81,0.9377,1
014151.OF,20230422,20230331,0.9485,0.9485,,213713600.58,288315839.73,0.9485,1
014151.OF,20230120,20221231,0.9298,0.9298,,209498653.46,282737809.44,0.9298,1
013697.OF,20230421,20230331,0.9858,0.9858,,2072.99,1970576.56,0.9858,1
013697.OF,20230120,20221231,0.9978,0.9978,,1688.96,19912355.49,0.9978,1
014632.OF,20230421,20230331,1.0313,1.0313,,11462832.98,17236786.92,1.0313,1
014632.OF,20230120,20221231,0.8914,0.8914,,9742343.19,12738122.09,0.8914,1
013603.OF,20230421,20230331,1.1198,1.1198,,279149797.55,318485880.42,1.1198,1
013603.OF,20230120,20221231,1.0393,1.0393,,259075055.68,295627329.11,1.0393,1
009965.OF,20230421,20230331,0.9329,0.9329,,139881553.36,141128952.97,0.9329,1
009965.OF,20230120,20221231,0.9335,0.9335,,139971781.47,141347922.65,0.9335,1
014049.OF,20230421,20230331,1.0325,1.0325,,44550918.83,59350884.16,1.0325,1
014049.OF,20230120,20221231,0.9981,0.9981,,76526012.15,82309183.91,0.9981,1
014666.OF,20230421,20230331,0.9914,0.9914,,181009023.79,227928324.34,0.9914,1
014666.OF,20230120,20221231,0.9103,0.9103,,170501595.64,215256018.16,0.9103,1
015373.OF,20230420,20230331,0.9872,0.9872,,217732770.76,275508771.93,0.9872,1
015373.OF,20230118,20221231,0.9129,0.9129,,72391184.1,100972710.85,0.9129,1
014587.OF,20230421,20230331,0.9816,0.9816,,128547013.33,309677847.44,0.9816,1
014587.OF,20230120,20221231,0.9484,0.9484,,32747398.17,108590821.01,0.9484,1
013893.OF,20230422,20230331,0.971,0.971,,53123789.98,152555631.39,0.971,1
013893.OF,20230120,20221231,0.8746,0.8746,,42315164.71,67098818.65,0.8746,1
015215.OF,20230422,20230331,1.0055,1.0055,,258798267.46,271941135.88,1.0055,1
015215.OF,20230120,20221231,0.9946,0.9946,,255987712.98,269007187.51,0.9946,1
013539.OF,20230421,20230331,0.996,0.996,,223945184.62,224351001.97,0.996,1
013539.OF,20230120,20221231,0.9827,0.9827,,220954296.34,221064620.88,0.9827,1
015549.OF,20230421,20230331,1.0146,1.0146,,12026670.15,19794988.05,1.0146,1
015549.OF,20230120,20221231,0.9987,0.9987,,13699744.17,38004647.43,0.9987,1
014093.OF,20230421,20230331,0.9977,0.9977,,600072467.77,605905506.82,0.9977,1
014093.OF,20230120,20221231,0.9902,0.9902,,595545106.45,599738823.51,0.9902,1
015237.OF,20230421,20230331,0.9083,0.9083,,15715144.63,18754927.62,0.9083,1
015237.OF,20230120,20221231,0.8846,0.8846,,15900784.69,19245785.63,0.8846,1
015047.OF,20230421,20230331,0.95,0.95,,147764446.35,147764446.35,0.95,1
015047.OF,20230120,20221231,0.9485,0.9485,,143977647.6,143977647.6,0.9485,1
013510.OF,20230422,20230331,0.9676,0.9676,,217525713.99,217580063.63,0.9676,1
013510.OF,20230120,20221231,0.9292,0.9292,,208880291.31,208880291.31,0.9292,1
013989.OF,20230421,20230331,0.9447,0.9447,,14915902.87,21756977.52,0.9447,1
013989.OF,20230120,20221231,0.9417,0.9417,,13820381.93,19221210.24,0.9417,1
015252.OF,20230421,20230331,0.9745,0.9745,,15668795.97,35051665.64,0.9745,1
015252.OF,20230119,20221231,0.942,0.942,,15500442.33,34888467.67,0.942,1
014715.OF,20230420,20230331,0.9558,0.9558,,31753567.72,31753567.72,0.9558,1
014715.OF,20230119,20221231,0.9292,0.9292,,30847384.25,30847384.25,0.9292,1
014541.OF,20230421,20230331,0.7586,0.7586,,108245999.58,117729539.86,0.7586,1
014541.OF,20230120,20221231,0.7459,0.7459,,109220935.73,118945871.97,0.7459,1
013554.OF,20230420,20230331,1.0165,1.0165,,53790101.44,92620739.87,1.0165,1
013554.OF,20230118,20221231,1.0093,1.0093,,86267674.52,131687591.58,1.0093,1
013583.OF,20230421,20230331,0.9678,0.9678,,2131352.58,5355546.1,0.9678,1
013583.OF,20230118,20221231,0.9666,0.9666,,2616561.97,7375917.7,0.9666,1
013741.OF,20230421,20230331,1.0124,1.0124,,351686851.58,352810808.64,1.0124,1
013741.OF,20230120,20221231,0.9925,0.9925,,344617587.59,345245213.96,0.9925,1
014659.OF,20230422,20230331,0.9413,0.9413,,36797175.92,37238345.88,0.9413,1
014659.OF,20230120,20221231,0.9728,0.9728,,37993314.47,52123278.25,0.9728,1
014291.OF,20230421,20230331,1.0056,1.0056,,309038371.25,309038371.25,1.0056,1
014291.OF,20230120,20221231,0.9952,0.9952,,305283444.56,305283444.56,0.9952,1
014121.OF,20230421,20230331,0.9171,0.9171,,146171587.35,164491335.26,0.9171,1
014121.OF,20230118,20221231,0.8562,0.8562,,55861746.26,63911789.98,0.8562,1
015200.OF,20230421,20230331,1.1667,1.1667,,19204452.94,41305734.05,1.1667,1
015200.OF,20230120,20221231,1.0971,1.0971,,19153193.05,40383912.08,1.0971,1
015453.OF,20230422,20230331,0.9883,0.9883,,104986859.41,156826349.96,0.9883,1
015453.OF,20230120,20221231,0.9272,0.9272,,109974882.58,142099214.61,0.9272,1
015125.OF,20230421,20230331,1.0029,1.0029,,297783427.38,326291371.23,1.0029,1
015125.OF,20230120,20221231,0.997,0.997,,296053103.73,324423647.19,0.997,1
014564.OF,20230423,20230331,1.0126,1.0126,,12445613.02,32438355.51,1.0126,1
014564.OF,20230128,20221231,1.0688,1.0688,,11335522.63,24459541.49,1.0688,1
014697.OF,20230422,20230331,1.0631,1.0631,,343035831.17,649021506.95,1.0631,1
014697.OF,20230120,20221231,1.0229,1.0229,,300165512.61,582502450.92,1.0229,1
014139.OF,20230421,20230331,0.9284,0.9284,,170050010.48,213121542.95,0.9284,1
014139.OF,20230120,20221231,0.9585,0.9585,,215176728.12,273804440.67,0.9585,1
014556.OF,20230424,20230331,0.9621,0.9621,,9765598.23,9916745.13,0.9621,1
014556.OF,20230120,20221231,0.9099,0.9099,,9202484.09,9349481.82,0.9099,1
015424.OF,20230421,20230331,1.0535,1.0535,,115579186.38,238888659.35,1.0535,1
015424.OF,20230120,20221231,1.0494,1.0494,,117785998.51,224936617.22,1.0494,1
015466.OF,20230421,20230331,1.0866,1.0866,,62829720.49,77773500.82,1.0866,1
015466.OF,20230120,20221231,1.0024,1.0024,,62023222.51,70037265.58,1.0024,1
015305.OF,20230420,20230331,1.037,1.037,,601051865.47,716160611.55,1.037,1
015305.OF,20230120,20221231,0.9502,0.9502,,433608033.65,548499805.36,0.9502,1
013367.OF,20230421,20230331,0.9031,0.9031,,40821471.98,51199921.34,0.9031,1
013367.OF,20230120,20221231,0.9457,0.9457,,77281830.43,104126586.17,0.9457,1
015497.OF,20230422,20230331,1.0392,1.0392,,16754471.59,19802799.56,1.0392,1
015497.OF,20230117,20221231,1.0256,1.0256,,16463883.39,19309633.74,1.0256,1
013308.OF,20230421,20230331,1.053,1.053,,438977844.46,815784349.23,1.053,1
013308.OF,20230120,20221231,1.0342,1.0342,,281274567.14,552976117.15,1.0342,1
015359.OF,20230421,20230331,0.9708,0.9708,,284822790.11,651400191.77,0.9708,1
015359.OF,20230120,20221231,0.9408,0.9408,,275805276.05,631338592.73,0.9408,1
015495.OF,20230421,20230331,1.1008,1.1008,,62644312.04,142872613.86,1.1008,1
015495.OF,20230120,20221231,0.9834,0.9834,,67015056.36,153071191.58,0.9834,1
014305.OF,20230422,20230331,1.0643,1.0643,,108233453.68,114713604.92,1.0643,1
014305.OF,20230120,20221231,0.9862,0.9862,,146191118.26,151670587.7,0.9862,1
015028.OF,20230421,20230331,0.9931,0.9931,,81869285.99,202812529.93,0.9931,1
015028.OF,20230120,20221231,0.9841,0.9841,,81125141.15,201087221.68,0.9841,1
014934.OF,20230422,20230331,0.9287,0.9287,,190123671.67,247159322.01,0.9287,1
014934.OF,20230120,20221231,0.9061,0.9061,,194474965.85,256140467.15,0.9061,1
013632.OF,20230421,20230331,1.0028,1.0028,,246235813.18,279354015.2,1.0028,1
013632.OF,20230120,20221231,0.9932,0.9932,,243885145.56,276699375.52,0.9932,1
014854.OF,20230421,20230331,1.1949,1.1949,,198754233.75,1612186565.93,1.1949,1
014854.OF,20230120,20221231,1.0768,1.0768,,125554782.27,1527871004.13,1.0768,1
015320.OF,20230421,20230331,0.9754,0.9754,,151339347.99,160264937.73,0.9754,1
015320.OF,20230120,20221231,0.9688,0.9688,,160053998.7,169406510.38,0.9688,1
012928.OF,20230420,20230331,1.1391,1.1391,,43851797.27,124830128.44,1.1391,1
012928.OF,20230120,20221231,1.165,1.165,,44579033.62,108685895.88,1.165,1
015391.OF,20230422,20230331,0.8047,0.8047,,27387968.33,96206714.06,0.8047,1
015391.OF,20230120,20221231,0.9526,0.9526,,29144779.65,78843717.09,0.9526,1
013916.OF,20230421,20230331,0.8921,0.8921,,193197390.62,199600078.3,0.8921,1
013916.OF,20230120,20221231,0.9182,0.9182,,198692986.03,205217915.97,0.9182,1
014352.OF,20230422,20230331,1.036,1.036,,132520770.22,155697452.57,1.036,1
014352.OF,20230119,20221231,0.9049,0.9049,,126770399.6,144196708.08,0.9049,1
010747.OF,20230421,20230331,1.0032,1.0032,,61390176.29,74568716.52,1.0032,1
010747.OF,20230120,20221231,0.9941,0.9941,,199833804.34,234476940.15,0.9941,1
013181.OF,20230421,20230331,0.969,0.969,,1145598.97,13333345.32,0.969,1
013181.OF,20230119,20221231,0.9635,0.9635,,1724358.5,14371352.74,0.9635,1
014077.OF,20230423,20230331,0.9938,0.9938,,156813406.75,251925376.5,0.9938,1
014077.OF,20230120,20221231,0.9867,0.9867,,155681688.56,250194979.17,0.9867,1
014414.OF,20230421,20230331,1.0711,1.0711,,47920199.97,386378511.7,1.0711,1
014414.OF,20230118,20221231,1.0477,1.0477,,50800286.27,451854951.75,1.0477,1
013712.OF,20230422,20230331,1.0253,1.0253,,207411794.07,214211055.52,1.0253,1
013712.OF,20230120,20221231,1.0066,1.0066,,203620201.08,210303401.48,1.0066,1
015282.OF,20230421,20230331,1.0907,1.0907,,49618456.47,234170932.35,1.0907,1
015282.OF,20230120,20221231,1.0823,1.0823,,47273741.55,146143048.04,1.0823,1
014365.OF,20230421,20230331,0.9778,0.9778,,58680287.49,58680287.49,0.9778,1
014365.OF,20230120,20221231,0.9555,0.9555,,57246986.15,57246986.15,0.9555,1
014577.OF,20230422,20230331,1.0567,1.0567,,82636787.03,137033270.45,1.0567,1
014577.OF,20230120,20221231,1.0378,1.0378,,133835071.66,205806319.13,1.0378,1
014693.OF,20230421,20230331,0.9911,0.9911,,145487850.93,205608798.82,0.9911,1
014693.OF,20230120,20221231,0.9793,0.9793,,143727575.31,203187181.03,0.9793,1
013267.OF,20230423,20230331,1.0099,1.0099,,160861560.51,232688884.83,1.0099,1
013267.OF,20230128,20221231,0.989,0.989,,182653745.09,255775074.76,0.989,1
013767.OF,20230421,20230331,0.9554,0.9554,,71887529.88,76191342.42,0.9554,1
013767.OF,20230119,20221231,0.9464,0.9464,,82615112.84,87095230.26,0.9464,1
015328.OF,20230422,20230331,0.912,0.912,,16428033.72,22492817.37,0.912,1
015328.OF,20230117,20221231,0.8997,0.8997,,15099959.73,18138557.57,0.8997,1
015272.OF,20230422,20230331,1.0187,1.0187,,218490296.47,308273175.57,1.0187,1
015272.OF,20230120,20221231,1.0122,1.0122,,217085892.93,306322880.58,1.0122,1
015299.OF,20230421,20230331,0.9922,0.9922,,36974390.82,76022887.0,0.9922,1
