index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm,ts_code,close,open,high,low,vol,amount
000015.SH,红利指数,2020,20,20200515,971733464.8100001,153328809.9152462,148823288.53696325,1306580169.8725545,6.337579123891551,0.7437228018735231,6.529444916604235,000015.SH,2419.78,2471.95,2480.51,2418.39,5655354700.0,48591962994.0
000015.SH,红利指数,2020,21,20200522,960506056.91,153328626.35701206,148823225.26590538,1306007220.0916247,6.264362237704701,0.7354523329837445,6.454006457620072,000015.SH,2357.26,2424.05,2441.64,2356.82,5671960000.0,46032726130.0
000015.SH,红利指数,2020,22,20200529,968852361.33,153328593.8654446,148823080.68922,1306530924.554234,6.318797667838971,0.741545678806306,6.510094783975123,000015.SH,2364.23,2360.81,2396.12,2349.89,6129291000.0,45406232299.0
000015.SH,红利指数,2020,23,20200605,981033318.4300001,153328531.76102218,148823076.8093122,1305781516.0727308,6.398243739521607,0.7512997437584784,6.5919435309552386,000015.SH,2413.12,2371.63,2445.41,2371.63,7380624300.0,58906579454.0
000015.SH,红利指数,2020,24,20200612,971990754.38,153328798.50516137,148823517.12491313,1303556008.8152394,6.339257620591612,0.7456455632185773,6.5311637109353615,000015.SH,2396.68,2417.67,2434.6,2362.67,8140472300.0,64192085740.0
000015.SH,红利指数,2020,25,20200619,966888627.48,153328967.16568094,148823265.09525186,1299936229.0736117,6.3059749592862,0.7437969693090597,6.4968916443350375,000015.SH,2419.52,2378.21,2431.28,2368.91,9897514500.0,66699570151.0
000015.SH,红利指数,2020,26,20200624,967915406.89,153328678.94011354,148823256.32337213,1298752984.3197753,6.312683403918482,0.7452652032957197,6.503791348220839,000015.SH,2392.89,2419.4,2423.26,2387.45,4986535700.0,37180916130.0
000015.SH,红利指数,2020,27,20200703,1005834709.42,153328545.51957366,148823150.85885572,1296172618.9536276,6.55999641822466,0.7760036701222626,6.758590337695082,000015.SH,2509.63,2389.11,2512.29,2373.06,14143470800.0,107178410700.0
000015.SH,红利指数,2020,28,20200710,1010389379.74,153328416.86270756,148854252.67602348,1280723179.6318,6.589707246796379,0.7889209751247579,6.78777637572156,000015.SH,2605.0,2537.64,2716.24,2537.64,27110702000.0,203645771537.0
000015.SH,红利指数,2020,29,20200717,967409114.9300001,153329016.2500601,148853508.13566926,1268523275.704468,6.3093675195325,0.7626262233089529,6.499068292352749,000015.SH,2514.65,2606.4,2689.72,2494.93,19195041000.0,146941658019.0
000015.SH,红利指数,2020,30,20200724,951695136.3199999,153328924.0416385,148864261.0325562,1268115031.261315,6.20688589754634,0.7504801322111986,6.393039737804273,000015.SH,2488.36,2529.26,2635.07,2479.06,14758537300.0,122848170072.0
000015.SH,红利指数,2020,31,20200731,954041619.49,153328693.84733543,148864366.72053522,1259387277.5369139,6.2221988301805355,0.7575442729228588,6.408797756692394,000015.SH,2552.78,2497.25,2565.66,2466.35,10416649700.0,82566841179.0
000015.SH,红利指数,2020,32,20200807,959054166.52,153328634.46178544,148870452.5844651,1259399963.4414835,6.254892766028174,0.7615167495314615,6.442206293259292,000015.SH,2600.19,2572.08,2626.8,2567.46,13505081700.0,105495925712.0
000015.SH,红利指数,2020,33,20200814,969289648.1800001,153328781.91680348,148847655.76683128,1259415910.1883073,6.32164187351295,0.7696342727916407,6.511957767735254,000015.SH,2638.52,2605.85,2657.36,2562.52,12080703000.0,97264487661.0
000015.SH,红利指数,2020,34,20200821,969171098.1,153328389.1812612,148806495.7056318,1259332137.7080648,6.3208848881485915,0.7695913326438675,6.512962310578223,000015.SH,2666.43,2647.36,2717.71,2647.18,14173226300.0,106701189413.0
000015.SH,红利指数,2020,35,20200828,969257671.13,153328783.6610251,148288428.04733318,1261125684.704151,6.3214332494334995,0.7685654831123191,6.536300127347874,000015.SH,2661.11,2677.2,2692.32,2602.26,9772454400.0,81435996053.0
000015.SH,红利指数,2020,36,20200904,956955861.95,153328236.46067658,137372659.3980234,1265863027.2508507,6.241223952219827,0.7559710974640578,6.966130423211195,000015.SH,2615.98,2665.43,2674.24,2593.48,11008853200.0,94239275583.0
000015.SH,红利指数,2020,37,20200911,956306625.39,153328916.19416097,137372658.45072663,1265882390.637187,6.2369620103426895,0.755446661129901,6.961404373877003,000015.SH,2578.03,2615.85,2641.63,2557.09,9960623400.0,84782963204.0
000015.SH,红利指数,2020,38,20200918,974557964.49,153328916.71755153,137372487.11807522,1265927499.65328,6.355995890098417,0.7698371073832568,7.094273277969715,000015.SH,2635.47,2583.19,2635.86,2570.56,7716737500.0,70529932080.0
000015.SH,红利指数,2020,39,20200925,946523952.26,153328245.98229393,137373118.12836838,1265931075.042621,6.173187113673125,0.7476899579450902,6.890168652760144,000015.SH,2539.56,2637.56,2638.65,2531.05,7037529500.0,60786651575.0
000015.SH,红利指数,2020,40,20200930,950523045.8,153328935.85985404,137372842.92080557,1278405050.4939973,6.199241131294347,0.7435225990641243,6.919293694372835,000015.SH,2537.42,2546.79,2562.29,2528.01,4212971800.0,34731811348.0
000015.SH,红利指数,2020,41,20201009,953481222.1,153328531.27412802,137372554.09469768,1278421345.279489,6.2185505474863065,0.7458270511679774,6.940842211048346,000015.SH,2575.21,2567.73,2585.72,2563.98,1494272500.0,14049158853.0
000015.SH,红利指数,2020,42,20201016,973281868.14,153328562.59960318,137371728.44272006,1278441537.7114592,6.347687943058555,0.7613033834009132,7.085023091529562,000015.SH,2599.04,2582.95,2621.96,2580.98,10773956300.0,89805220006.0
000015.SH,红利指数,2020,43,20201023,980231626.57,153328749.76340756,137371297.08847138,1278945151.513241,6.393006061045544,0.7664375797587529,7.135636390902682,000015.SH,2558.61,2606.18,2628.19,2554.79,10669495100.0,84596786869.0
000015.SH,红利指数,2020,44,20201030,962180289.7,153328883.75827935,140755281.63626048,1301710340.0636396,6.2752709477547794,0.7391662031761688,6.835837906150225,000015.SH,2543.82,2556.39,2583.05,2519.97,9246808000.0,85655648734.0
000015.SH,红利指数,2020,45,20201106,993485885.53,153328585.76620808,140594995.2542915,1316982580.9065416,6.479456394679362,0.7543652436512384,7.066296234322572,000015.SH,2669.74,2549.51,2670.37,2544.51,9755480800.0,100896542848.0
000015.SH,红利指数,2020,46,20201113,989839257.58,153328495.78730437,140595060.09653938,1316995354.321099,6.455677090533089,0.7515890275028757,7.040355876659738,000015.SH,2714.05,2685.34,2737.03,2685.34,11991217700.0,111043116833.0
000015.SH,红利指数,2020,47,20201120,1008144422.4300001,153328805.80931944,140594791.162014,1317023362.9183724,6.575049072538491,0.7654719352859982,7.170567373781776,000015.SH,2787.75,2724.87,2794.95,2720.2,11393704800.0,112168438265.0
000015.SH,红利指数,2020,48,20201127,1053543392.92,153328712.53039354,140594850.8446318,1316998511.1587203,6.871142237701641,0.799957922498388,7.493470682537635,000015.SH,2807.0,2790.87,2843.1,2767.58,14102390800.0,122343870898.0
000015.SH,红利指数,2020,49,20201204,1041975561.77,153328854.19351718,140594576.05647388,1316981305.331629,6.795691308401203,0.7911847780615383,7.411207395023975,000015.SH,2748.29,2809.75,2831.65,2730.02,16949548800.0,134683237346.0
000015.SH,红利指数,2020,50,20201211,999803297.43,153328501.09301612,140595008.67052832,1316994799.1774457,6.5206617837049965,0.7591550840249682,7.11122896100066,000015.SH,2669.44,2752.52,2757.55,2613.79,11553072100.0,94814887469.0
000015.SH,红利指数,2020,51,20201218,993749841.8299999,153329258.86593473,140595161.60479498,1316992201.2451138,6.481149450405268,0.7545601567651552,7.068165294502625,000015.SH,2670.55,2657.49,2685.06,2602.87,11522835300.0,92338211805.0
000015.SH,红利指数,2020,52,20201225,980633170.79,153329001.02974865,140595210.54494846,1317008420.2608967,6.395614425217178,0.7445914207562458,6.974868965941698,000015.SH,2615.92,2677.76,2685.4,2592.34,10538919000.0,89240149417.0
000015.SH,红利指数,2020,53,20201231,984259352.95,153329062.6448959,140594657.3677133,1317003929.54424,6.419261527930331,0.7473473167924496,7.000688158268731,000015.SH,2594.99,2618.27,2620.82,2572.45,8663518000.0,76912796590.0
000015.SH,红利指数,2021,1,20210108,974662212.68,159742160.00785282,145883517.93355313,1370277152.0905857,6.1014713500311135,0.7112883778241436,6.681098910186263,000015.SH,2578.94,2589.21,2599.94,2551.39,14748253800.0,134559023963.0
