ts_code,trade_date,close,open,high,low,vol,amount
000016.SH,20230621,2519.08,2591.33,2591.33,2519.08,9757877700.0,159720913168.0
000016.SH,20230616,2600.92,2536.38,2604.63,2523.97,16783199500.0,294617134823.0
000016.SH,20230609,2543.93,2540.02,2560.06,2504.1,14271628400.0,232560527187.0
000016.SH,20230602,2543.58,2565.59,2566.83,2485.86,15497716800.0,272103365788.0
000016.SH,20230526,2559.61,2630.11,2669.23,2536.26,15134559400.0,256226599610.0
000016.SH,20230519,2633.39,2628.46,2685.57,2614.96,16646436200.0,272755223578.0
000016.SH,20230512,2630.95,2694.57,2751.44,2630.29,25512016400.0,387342138224.0
000016.SH,20230505,2685.17,2663.45,2706.33,2654.23,10085362300.0,164008477604.0
000016.SH,20230428,2677.76,2655.08,2683.47,2596.56,19061169700.0,355464780300.0
000016.SH,20230421,2654.21,2680.63,2753.81,2652.26,19107804300.0,357926461261.0
000016.SH,20230414,2679.01,2690.43,2694.32,2652.96,16833991500.0,347906873668.0
000016.SH,20230407,2684.86,2667.18,2692.51,2655.07,12853376100.0,252725914176.0
000016.SH,20230331,2661.92,2652.79,2681.82,2626.58,15065114900.0,267089632122.0
000016.SH,20230324,2653.28,2632.25,2668.67,2614.28,15970007500.0,271488354803.0
000016.SH,20230317,2628.59,2637.82,2674.08,2620.43,18374876900.0,284455066045.0
000016.SH,20230310,2636.39,2773.27,2774.0,2636.01,17901700000.0,282954083521.0
000016.SH,20230303,2774.51,2713.43,2784.13,2703.26,15652986800.0,256512857081.0
000016.SH,20230224,2727.59,2720.05,2805.71,2717.5,14362606100.0,278784091346.0
000016.SH,20230217,2714.29,2739.72,2787.16,2712.5,13592632800.0,279233993597.0
000016.SH,20230210,2746.72,2744.7,2765.62,2716.73,10546301900.0,230013203039.0
000016.SH,20230203,2774.8,2895.35,2895.35,2753.06,17468734000.0,367006661439.0
000016.SH,20230120,2836.81,2789.87,2864.88,2786.08,14315577600.0,319220571116.0
000016.SH,20230113,2787.36,2731.0,2787.36,2722.15,12555377500.0,275688810766.0
000016.SH,20230106,2713.63,2628.67,2721.93,2603.72,11437777400.0,233485333272.0
000016.SH,20221230,2635.25,2617.18,2648.41,2604.9,11146469100.0,206165587642.0
000016.SH,20221223,2615.88,2688.12,2696.93,2580.87,10081595100.0,209111675020.0
000016.SH,20221216,2688.29,2689.57,2700.4,2661.85,13424054100.0,269936985845.0
000016.SH,20221209,2706.74,2647.46,2712.88,2635.75,19009961600.0,344795355417.0
000016.SH,20221202,2614.61,2489.47,2678.34,2458.87,19588575400.0,355831106261.0
000016.SH,20221125,2544.61,2523.05,2562.08,2489.44,16240450100.0,255954059030.0
000016.SH,20221118,2546.72,2550.97,2595.3,2526.62,17169972100.0,354706655293.0
000016.SH,20221111,2518.05,2452.01,2546.09,2414.35,19257154000.0,323421952447.0
000016.SH,20221104,2468.28,2300.88,2479.23,2288.01,20318520600.0,408594178227.0
000016.SH,20221028,2326.94,2468.7,2493.06,2322.64,17279690800.0,368543945052.0
000016.SH,20221021,2487.22,2572.61,2598.21,2473.2,12047720600.0,266270275992.0
000016.SH,20221014,2584.68,2610.76,2611.05,2482.55,14864730200.0,296390520254.0
000016.SH,20220930,2610.12,2612.67,2650.25,2596.96,13447507000.0,250227085581.0
000016.SH,20220923,2629.81,2677.33,2695.4,2618.94,12947909000.0,225828824834.0
000016.SH,20220916,2678.03,2769.41,2781.4,2678.03,12691812600.0,239343759971.0
000016.SH,20220909,2757.57,2700.11,2763.17,2676.6,13421255400.0,277524632262.0
000016.SH,20220902,2711.26,2721.86,2779.62,2698.33,13891123800.0,283993519729.0
000016.SH,20220826,2751.59,2737.4,2767.28,2706.15,14295733600.0,322442067252.0
000016.SH,20220819,2750.63,2787.51,2811.24,2750.06,12873612200.0,282500895843.0
000016.SH,20220812,2796.89,2762.32,2802.58,2719.61,12482164900.0,280485297500.0
000016.SH,20220805,2774.34,2785.69,2794.18,2705.73,15261291900.0,325588328370.0
000016.SH,20220729,2792.33,2846.83,2864.46,2784.57,13191680000.0,287270496272.0
000016.SH,20220722,2848.44,2849.99,2887.94,2826.13,15397886100.0,306633387433.0
000016.SH,20220715,2839.39,2974.36,2974.36,2839.39,21860899300.0,404711237074.0
000016.SH,20220708,2993.31,3031.06,3078.4,2968.35,20156476600.0,448726545326.0
000016.SH,20220701,3045.27,2991.1,3085.22,2991.1,25649661800.0,503432776844.0
000016.SH,20220624,2974.75,2935.22,2983.61,2890.76,28395730900.0,468341175509.0
000016.SH,20220617,2936.2,2862.9,2971.36,2808.98,25271438100.0,503827030580.0
000016.SH,20220610,2899.58,2792.44,2902.48,2762.96,19829798700.0,419306573115.0
000016.SH,20220602,2790.32,2777.85,2817.49,2767.09,11170620500.0,241456712146.0
000016.SH,20220527,2763.07,2813.93,2813.93,2717.74,14249803200.0,294245135803.0
000016.SH,20220520,2807.94,2764.39,2807.98,2708.81,14160637600.0,301834021543.0
000016.SH,20220513,2748.24,2706.42,2769.48,2644.87,14745432800.0,295282359568.0
000016.SH,20220506,2719.76,2806.04,2824.54,2716.17,6271160600.0,126422100341.0
000016.SH,20220429,2805.34,2750.56,2820.55,2667.91,20592187800.0,413553355088.0
000016.SH,20220422,2814.13,2902.44,2902.44,2769.67,15049498800.0,309044274527.0
000016.SH,20220415,2930.58,2908.54,2947.45,2827.63,15931826100.0,331642712289.0
000016.SH,20220408,2925.49,2918.5,2943.24,2889.2,11245297000.0,207105036563.0
000016.SH,20220401,2943.24,2817.26,2954.51,2798.7,15693755300.0,341578329869.0
000016.SH,20220325,2856.43,2919.26,2928.44,2855.33,14578049300.0,332471688723.0
000016.SH,20220318,2913.19,2889.83,2925.72,2688.7,21717930700.0,487914706499.0
000016.SH,20220311,2935.68,3042.02,3042.02,2809.99,20166751200.0,440204153949.0
000016.SH,20220304,3062.38,3069.1,3129.26,3049.56,15402162900.0,326065456917.0
000016.SH,20220225,3075.59,3155.32,3155.88,3038.35,17030957300.0,352835147311.0
000016.SH,20220218,3162.82,3131.39,3162.82,3093.64,14241423400.0,304980820965.0
000016.SH,20220211,3142.91,3102.62,3172.09,3061.22,19608815500.0,396292398217.0
000016.SH,20220128,3054.02,3204.18,3218.98,3048.33,14742270900.0,342922248744.0
000016.SH,20220121,3218.74,3139.41,3251.22,3134.08,16567848200.0,375041299948.0
000016.SH,20220114,3139.05,3217.35,3247.9,3136.99,16579025300.0,371626704084.0
000016.SH,20220107,3223.27,3277.67,3289.16,3194.95,13947181400.0,345308915645.0
000016.SH,20211231,3274.32,3286.11,3308.23,3236.16,10861143200.0,340154002939.0
000016.SH,20211224,3290.24,3264.1,3306.91,3246.24,11795199300.0,320175880425.0
000016.SH,20211217,3278.9,3391.62,3428.74,3278.12,14771147000.0,427472452655.0
000016.SH,20211210,3353.63,3234.43,3393.16,3223.21,18789013500.0,495880330331.0
000016.SH,20211203,3221.42,3170.69,3221.42,3153.63,13029102600.0,372122217659.0
000016.SH,20211126,3187.36,3217.33,3247.78,3181.14,11999644500.0,363359199894.0
000016.SH,20211119,3212.91,3228.02,3243.45,3164.7,11199822700.0,320547958341.0
000016.SH,20211112,3220.55,3198.69,3241.13,3125.29,14408607800.0,392404642676.0
000016.SH,20211105,3201.55,3239.89,3267.76,3173.33,15352064900.0,468223729274.0
000016.SH,20211029,3267.25,3295.25,3327.66,3223.72,14707317500.0,418996764003.0
000016.SH,20211022,3318.13,3289.32,3336.73,3213.24,15175002900.0,408724599346.0
000016.SH,20211015,3294.83,3264.72,3318.15,3232.32,15891527500.0,399161240308.0
000016.SH,20211008,3256.26,3229.07,3263.93,3215.56,3892310800.0,105047467733.0
000016.SH,20210930,3196.99,3162.43,3224.57,3160.39,15090970100.0,364421429096.0
000016.SH,20210924,3145.11,3100.39,3173.05,3096.03,11376211300.0,259475233023.0
000016.SH,20210917,3161.92,3246.86,3271.1,3110.03,23676371300.0,517467792082.0
000016.SH,20210910,3252.32,3175.88,3268.73,3166.62,24782428100.0,559122138074.0
000016.SH,20210903,3175.88,3141.12,3203.32,3056.7,27441347300.0,699834042461.0
000016.SH,20210827,3123.05,3079.29,3173.37,3069.53,16775237400.0,518359551430.0
000016.SH,20210820,3072.75,3212.66,3246.93,3044.88,20157076100.0,547250891102.0
000016.SH,20210813,3217.84,3171.09,3298.41,3169.19,17174687400.0,522115792795.0
000016.SH,20210806,3195.7,3112.3,3266.3,3082.83,17987106000.0,605450428908.0
000016.SH,20210730,3132.82,3339.86,3339.86,3098.02,20274672900.0,645065802602.0
000016.SH,20210723,3357.45,3362.58,3410.82,3322.32,16297633100.0,500188412680.0
000016.SH,20210716,3369.9,3385.12,3414.42,3328.88,16374271800.0,486894114928.0
000016.SH,20210709,3361.59,3402.11,3434.15,3329.74,15255714400.0,489250277077.0
000016.SH,20210702,3408.24,3541.1,3543.7,3403.8,14771313000.0,470188751353.0
000016.SH,20210625,3535.02,3440.74,3545.43,3410.4,15744372700.0,478241744345.0
000016.SH,20210618,3454.59,3570.4,3579.09,3426.03,13474258300.0,378966187316.0
000016.SH,20210611,3576.78,3610.89,3634.92,3558.46,14846204400.0,387146194033.0
000016.SH,20210604,3612.7,3652.89,3665.92,3573.7,13734306700.0,380775043755.0
000016.SH,20210528,3659.3,3482.99,3709.0,3457.29,16029077000.0,452470183510.0
000016.SH,20210521,3481.86,3502.74,3556.49,3475.26,12222615100.0,334581706935.0
000016.SH,20210514,3503.04,3410.01,3504.65,3371.13,13308422600.0,355582209528.0
